Ort;Plz;Bundesland;lat;lng;km
Aach;54298;Rheinland-Pfalz;49,8530866;6,5693978;476
Aach;78267;Baden-Württemberg;47,8432211;8,8526869;640
Aachen;52062;Nordrhein-Westfalen;50,7780476;6,0887682;410
Aachen;52064;Nordrhein-Westfalen;50,7680669;6,08015;411
Aachen;52066;Nordrhein-Westfalen;50,7533438;6,1123901;411
Aachen;52068;Nordrhein-Westfalen;50,7794144;6,1339006;408
Aachen;52070;Nordrhein-Westfalen;50,7959332;6,0958906;408
Aachen;52072;Nordrhein-Westfalen;50,8247238;6,0440697;408
Aachen;52074;Nordrhein-Westfalen;50,7779566;6,0404099;412
Aachen;52076;Nordrhein-Westfalen;50,7149258;6,1490776;413
Aachen;52078;Nordrhein-Westfalen;50,7506567;6,1633895;409
Aachen;52080;Nordrhein-Westfalen;50,7925769;6,1597163;405
Aalen;73430;Baden-Württemberg;48,8478634;10,0821944;523
Aalen;73431;Baden-Württemberg;48,825928;10,1004936;525
Aalen;73432;Baden-Württemberg;48,8246673;10,172062;526
Aalen;73433;Baden-Württemberg;48,8708148;10,1100905;520
Aalen;73434;Baden-Württemberg;48,870622;10,0233878;520
Aarbergen;65326;Hessen;50,2482114;8,0814608;391
Aasbüttel;25560;Schlewig-Holstein;54,0470205;9,481104;67
Abbau Ader;29416;Sachsen-Anhalt;52,7964329;11,3337223;120
Abbendorf;19322;Brandenburg;52,9885553;11,7933994;132
Abbenrode;38871;Sachsen-Anhalt;51,8953572;10,7034246;189
Abberode;6543;Sachsen-Anhalt;51,6349755;11,3110076;229
Abenberg;91183;Bayern;49,2415618;10,9638001;483
Abend;1623;Sachsen;51,2021198;13,2783877;341
Abensberg;93326;Bayern;48,825804;11,849226;540
Abentheuer;55767;Rheinland-Pfalz;49,7050808;7,1639787;472
Abraham;94036;Bayern;48,5790873;13,3832805;600
Absberg;91720;Bayern;49,1448937;10,8715969;493
Abstatt;74232;Baden-Württemberg;49,0706875;9,2929163;501
Abtlöbnitz;6628;Sachsen-Anhalt;51,1338215;11,7267788;292
Abtsbessingen;99713;Thüringen;51,2862655;10,7338206;256
Abtsdorf;6888;Sachsen-Anhalt;51,8461779;12,6354711;257
Abtsgmünd;73453;Baden-Württemberg;48,912656;9,9809642;516
Abtsteinach;69518;Hessen;49,536595;8,7845628;455
Abtswind;97355;Bayern;49,7534701;10,3254764;423
Abtweiler;55568;Rheinland-Pfalz;49,759844;7,6709948;452
Achberg;88147;Baden-Württemberg;47,6150907;9,7139813;660
Achen;83552;Bayern;48,0327757;12,3056213;634
Achern;77855;Baden-Württemberg;48,6300448;8,034704;565
Achim;28832;Niedersachsen;53,0230093;9,0726476;87
Achim;38312;Niedersachsen;52,067141;10,57869;169
Achslach;94250;Bayern;48,9773419;12,9008165;546
Achstetten;88480;Baden-Württemberg;48,2629224;9,8940016;588
Acht;56729;Rheinland-Pfalz;50,3691224;7,1516537;406
Achtelsbach;55767;Rheinland-Pfalz;49,7050808;7,1639787;472
Achterspannerhof;56299;Rheinland-Pfalz;50,34914;7,3911315;400
Achterwehr;24239;Schlewig-Holstein;54,3007977;9,9797994;84
Achtrup;25917;Schlewig-Holstein;54,7698891;9,011256;151
Ackendorf;39343;Sachsen-Anhalt;52,2248602;11,3045259;170
Ackermannshof;16259;Brandenburg;52,798072;14,015775;277
Adamshoffnung;17213;Mecklenburg-Vorpommern;53,44759;12,4319928;158
