artikelnummer;artikelbezeichnung;preis;einheit;kategorie;marke;bild
100BJY024;Schrägdach-Modul-Montage inkl. PV-Modul und Material;375,5;€/Stk.;Modulmontage;Handelsmarke;1
100BJY025;Schrägdach-Modul-Montage inkl. PV-Modul und Trapezblech-Befestigung;316,4;€/Stk.;Modulmontage;Handelsmarke;1
100BJY026;Schrägdach-Modul-Montage inkl. PV-Modul und Stockschrauben-Befestigung;336,6;€/Stk.;Modulmontage;Handelsmarke;1
100BJY027;Flachdach-Modul-Montage mit Ost/West-Ausrichtung inkl. PV-Modul und Material;347,4;€/Stk.;Modulmontage;Handelsmarke;1
100BJY028;Flachdach-Modul-Montage mit Süd-Ausrichtung inkl. PV-Modul und Material;421,6;€/Stk.;Modulmontage;Handelsmarke;1
H66TG100001;Gerüst - Einrüstung (einfach - Südausrichtung);1764,7;€/Stk.;Gerüst;Handelsmarke;
H66TG1005 01;Gerüst - Einrüstung (doppelt - Ost- und Westausrichtung);2647,1;€/Stk.;Gerüst;Handelsmarke;
H66TG243001;Wechselrichter Fronius GEN24 3.0 (3.0 kW) inkl. Montage;3646,4;€/Stk.;Wechselrichter strang;Fronius;3
H66TG243501;Wechselrichter Fronius GEN24 4.0 (4.0 kW) inkl. Montage;3886,8;€/Stk.;Wechselrichter strang;Fronius;3
H66TG244001;Wechselrichter Fronius GEN24 5.0 (5.0 kW) inkl. Montage;3941,2;€/Stk.;Wechselrichter strang;Fronius;3
H66TG244501;Wechselrichter Fronius GEN24 6.0 (6.0 kW) inkl. Montage;4160,6;€/Stk.;Wechselrichter strang;Fronius;3
H66TG245001;Wechselrichter Fronius GEN24 7.0 (8.0 kW) inkl. Montage;4742,1;€/Stk.;Wechselrichter strang;Fronius;3
H66TG245501;Wechselrichter Fronius GEN24 10.0 (10.0 kW) inkl. Montage;4908,8;€/Stk.;Wechselrichter strang;Fronius;3
100BJW815;Wechselrichter  Fronius Verto 15.0 (15.0 kW) inkl. Montage;6218,9;€/Stk.;Wechselrichter strang;Fronius;28
100BJW816;Wechselrichter  Fronius Verto 17.5 (17.5 kW) inkl. Montage;6275,1;€/Stk.;Wechselrichter strang;Fronius;28
100BJW817;Wechselrichter  Fronius Verto 20.0 (20.0 kW) inkl. Montage;6408,4;€/Stk.;Wechselrichter strang;Fronius;28
